station_id,station_code,station_name,latitude,longitude,altitude,continent,country,region,group
38148,Tr18_NS01ED0082,SNAKE LAKE,44.3567,-65.2064,90.0,North America,Canada,AtlCan,Trends
38149,Tr18_NS01ED0083,LIBERTY LAKE,44.3856,-65.4267,135.0,North America,Canada,AtlCan,Trends
38150,Tr18_NS01ED0085,FROZEN OCEAN LAKE,44.4519,-65.3456,105.0,North America,Canada,AtlCan,Trends
38151,Tr18_NS01ED0086,CHANNEL LAKE,44.4256,-65.3097,100.0,North America,Canada,AtlCan,Trends
38152,Tr18_NS01ED0088,POPLAR LAKE,44.3542,-65.4389,170.0,North America,Canada,AtlCan,Trends
38153,Tr18_NS01ED0091,LUXTON LAKE,44.3617,-65.3428,135.0,North America,Canada,AtlCan,Trends
38154,Tr18_NS01ED0093,MCGINTY LAKE,44.36,-65.1608,105.0,North America,Canada,AtlCan,Trends
38155,Tr18_NS01ED0094,PESKAWA LAKE,44.3178,-65.3622,120.0,North America,Canada,AtlCan,Trends
38156,Tr18_NS01ED0095,UPPER SILVER LAKE,44.2828,-65.2467,90.0,North America,Canada,AtlCan,Trends
38157,Tr18_NS01EE0006,LITTLE TUPPER LAKE,44.4167,-64.9667,107.0,North America,Canada,AtlCan,Trends
38158,Tr18_NS01EE0028,HUEY LAKE,44.3906,-64.7333,107.0,North America,Canada,AtlCan,Trends
38159,Tr18_NS01EE0030,HIRTLE LAKE,44.4667,-64.75,91.0,North America,Canada,AtlCan,Trends
38160,Tr18_NS01EE0031,MATTHEW LAKE,44.3281,-64.6831,99.0,North America,Canada,AtlCan,Trends
38161,Tr18_NS01EE0061,ANNIS LAKE,44.3331,-64.8383,76.0,North America,Canada,AtlCan,Trends
38162,Tr18_NS01EF0016,LITTLE WILES LAKE,44.4,-64.6472,122.0,North America,Canada,AtlCan,Trends
38163,Tr18_NS01EF0017,ROCKY LAKE,44.4831,-64.7331,98.0,North America,Canada,AtlCan,Trends
38164,Tr18_NS01EN0006,HOOPER LAKE,45.0211,-62.0544,46.0,North America,Canada,AtlCan,Trends
38165,Tr18_NS01EN0008,NOWLIN LAKE,44.9464,-62.3597,30.0,North America,Canada,AtlCan,Trends
38166,Tr18_NS01EN0009,NOWLIN LAKE,44.9831,-62.3667,60.0,North America,Canada,AtlCan,Trends
38167,Tr18_NS01EN0021,ROUND LAKE,45.0667,-62.3331,78.0,North America,Canada,AtlCan,Trends
38168,Tr18_NS01EN0024,KELLY LAKE,45.0497,-62.3331,85.0,North America,Canada,AtlCan,Trends
38169,Tr18_NS01EN0027,KELLY LAKE,44.9833,-62.4167,46.0,North America,Canada,AtlCan,Trends
38170,Tr18_QC-114,Najoua,47.04167,-72.08333,366.0,North America,Canada,QuMaVt,Trends
38171,Tr18_QC-201,Eclair,46.85556,-72.99722,320.0,North America,Canada,QuMaVt,Trends
38172,Tr18_QC-202,Lemaine,47.723,-71.76983,549.0,North America,Canada,QuMaVt,Trends
38173,Tr18_QC-203,Truite-Rouge,46.15,-74.08333,533.0,North America,Canada,QuMaVt,Trends
38174,Tr18_QC-204,Francina,46.83889,-73.00833,331.0,North America,Canada,QuMaVt,Trends
38175,Tr18_QC-211,Congre,47.69733,-72.02817,488.0,North America,Canada,QuMaVt,Trends
38176,Tr18_QC-212,Fauvette,47.33889,-73.23333,396.0,North America,Canada,QuMaVt,Trends
38177,Tr18_QC-213,Adanys,46.80556,-74.325,594.0,North America,Canada,QuMaVt,Trends
38178,Tr18_QC-214,Boisvert,46.75833,-74.04444,472.0,North America,Canada,QuMaVt,Trends
38179,Tr18_QC-215,Thibert,46.65,-73.16667,335.0,North America,Canada,QuMaVt,Trends
38180,Tr18_QC-216,M90997,47.30833,-72.38611,343.0,North America,Canada,QuMaVt,Trends
38181,Tr18_QC-301,Chomeur,47.83583,-72.20767,412.0,North America,Canada,QuMaVt,Trends
38182,Tr18_QC-302,Thomas,47.88133,-70.2375,625.0,North America,Canada,QuMaVt,Trends
38183,Tr18_QC-303,Nolette,47.08333,-73.79167,396.0,North America,Canada,QuMaVt,Trends
38184,Tr18_QC-311,Daniel,47.79183,-71.80517,533.0,North America,Canada,QuMaVt,Trends
38185,Tr18_QC-312,Belle-Truite,47.822,-70.59867,823.0,North America,Canada,QuMaVt,Trends
38186,Tr18_QC-313,Pothier,47.64167,-73.04167,305.0,North America,Canada,QuMaVt,Trends
38187,Tr18_QC-314,Laurent,46.475,-74.2,457.0,North America,Canada,QuMaVt,Trends
38188,Tr18_QC-315,Harvey,47.9185,-71.6375,571.0,North America,Canada,QuMaVt,Trends
38189,Tr18_QC-316,desEnfers,47.72333,-70.904,788.0,North America,Canada,QuMaVt,Trends
38190,Tr18_QC-402,Kidney,46.20833,-75.23333,290.0,North America,Canada,QuMaVt,Trends
38191,Tr18_QC-502,David,46.30833,-75.58333,213.0,North America,Canada,QuMaVt,Trends
38192,Tr18_QC-601,m6827,46.98417,-78.0,335.0,North America,Canada,QuMaVt,Trends
38193,Tr18_QC-602,m88188,46.8,-77.40833,457.0,North America,Canada,QuMaVt,Trends
38194,Tr18_QC-603,Poirier,46.925,-76.775,426.0,North America,Canada,QuMaVt,Trends
38195,Tr18_QC-604,Bleriot,46.52972,-76.74444,335.0,North America,Canada,QuMaVt,Trends
38196,Tr18_QC-611,Triquet,47.13222,-78.18556,335.0,North America,Canada,QuMaVt,Trends
38197,Tr18_QC-612,Murex,47.09444,-77.14306,381.0,North America,Canada,QuMaVt,Trends
38198,Tr18_QC-613,m6740,46.51667,-77.25,304.0,North America,Canada,QuMaVt,Trends
38199,Tr18_QC-614,m49007,46.98333,-76.96667,409.0,North America,Canada,QuMaVt,Trends
38200,Tr18_QC-615,m49083,46.88333,-76.83333,393.0,North America,Canada,QuMaVt,Trends
38201,Tr18_CZ01,"Bohemian Forest, Cerne",49.1814138331,13.1866242498,1005.0,Europe,Czech Republic,ECE,Trends+Core
38202,Tr18_CZ02,"Bohemian Forest, Certovo",49.1653744194,13.2002722157,1002.0,Europe,Czech Republic,ECE,Trends+Core
38203,Tr18_CZ03,"Bohemian Forest, Plesne",48.7778100189,13.8677297865,1086.0,Europe,Czech Republic,ECE,Trends+Core
38204,Tr18_CZ04,"Bohemian Forest, Prasilske",49.075652392,13.4014248334,1079.0,Europe,Czech Republic,ECE,Trends+Core
38205,Tr18_CZ05,"Bohemian Forest, Laka",49.1117808287,13.3293352724,1085.0,Europe,Czech Republic,ECE,Trends+Core
38206,Tr18_CZ06,"Bohemian Forest, Zdarske",48.9348389111,13.6533120767,948.0,Europe,Czech Republic,ECE,Trends+Core
38207,Tr18_CZ07,Lysina,50.0344168324,12.669428285,829.0,Europe,Czech Republic,ECE,Trends+Core
38208,Tr18_CZ08,Uhlirska,50.8167,15.1333,780.0,Europe,Czech Republic,ECE,Trends+Core
23540,EE01,"River Ahja, Kiidjärve",58.145,26.977,,Europe,Estonia,Baltic,Core
38209,Tr18_FI_11165,Hirvilampi,60.7054,27.9181,34.0,Europe,Finland,SoNord,Trends+Core
38221,Tr18_FI_11397,Luomijärvi,60.6981,27.1471,42.0,Europe,Finland,SoNord,Trends
38214,Tr18_FI_14538,Sonnanen,61.2944,26.4147,100.0,Europe,Finland,SoNord,Trends+Core
38217,Tr18_FI_1898,Valkea-Kotinen,61.2423,25.0634,155.0,Europe,Finland,SoNord,Trends+Core
36463,SE24,Lill-Fämtan,60.843351,13.122309,,Europe,Sweden,SoNord,Core
23597,SE01,Delångersån Iggersund,61.6365,17.087167,0.0,Europe,Sweden,SoNord,Core
36459,SE20,Stormyrbäcken,62.260299,16.271277,,Europe,Sweden,SoNord,Core
38219,Tr18_FI_2987,Simijärvi,60.1677,23.5702,46.0,Europe,Finland,SoNord,Trends
38212,Tr18_FI_2998,Vitsjön,59.9634,23.3158,16.0,Europe,Finland,SoNord,Trends+Core
38215,Tr18_FI_24486,Iso Hietajärvi,63.1615,30.7103,164.0,Europe,Finland,NoNord,Trends+Core
38228,Tr18_FI_24488,Pieni Hietajärvi,63.1638,30.6929,164.0,Europe,Finland,NoNord,Trends
38272,Tr18_NO_1569-601,Skardvatnet,63.30043339,8.776536212,346.0,Europe,Norway,NoNord,Trends
38355,Tr18_SE_133,Gosjön,63.47439018,15.42884821,63.0,Europe,Sweden,NoNord,Trends
38213,Tr18_FI_23377,Kakkisenlampi,63.6565,29.9466,131.0,Europe,Finland,NoNord,Trends+Core
38229,Tr18_FI_30963,Älänne,63.7268,28.2352,203.0,Europe,Finland,NoNord,Trends
38226,Tr18_FI_4161,Kangasjärvi,62.1662,22.0038,121.0,Europe,Finland,SoNord,Trends
38391,Tr18_SE_132,Stensjön,63.86088147,18.27265013,268.0,Europe,Sweden,NoNord,Trends+Core
38348,Tr18_SE_55,Edasjön,63.87168667,16.22936317,17.0,Europe,Sweden,NoNord,Trends
38291,Tr18_NO_1630-601,Grovlivatnet,63.89958178,10.15429989,180.0,Europe,Norway,NoNord,Trends
38220,Tr18_FI_678,Kattilajärvi,60.3014,24.616,61.0,Europe,Finland,SoNord,Trends
38216,Tr18_FI_719,Iso Lehmälampi,60.3444,24.599,91.0,Europe,Finland,SoNord,Trends+Core
38225,Tr18_FI_8404,Koverojärvi,62.0178,23.9304,128.0,Europe,Finland,SoNord,Trends
38223,Tr18_FI_9517,Iso-Hanhijärvi,61.7991,24.2811,152.0,Europe,Finland,SoNord,Trends
38224,Tr18_FI_9518,Siikajärvi,61.8102,24.2072,186.0,Europe,Finland,SoNord,Trends
23510,DE06,"Hunsrück, Gräfenbach",49.924,7.619167,515.0,Europe,Germany,WCE,Core
23516,DE12,"Harz, Lange Bramke",51.855,10.421,,Europe,Germany,WCE,Core
23530,DE26,"Hunsrück, Traunbach 1",49.718667,7.109833,620.0,Europe,Germany,WCE,Core
23552,IE01,"Wicklow, Glendalough, Lake Upper, Mid Lake",53.0,-6.35,133.0,Europe,Ireland,UK-IE-NL,Core
23556,IE05,"Galway, Lough Maumwee, Mid Lake",53.4773799999999,-9.541,48.0,Europe,Ireland,UK-IE-NL,Core
23559,IE08,"Donegal, Lough Veagh, Mid Lake",55.0475199999999,-7.95363,,Europe,Ireland,UK-IE-NL,Core
38553,IE11,"Donegal, Barra, Mid Lake",54.9557399999999,-8.10399999999999,,Europe,Ireland,UK-IE-NL,Core
38554,IE12,"Galway, Bofin, Mid Lake",53.4377,-9.45429,,Europe,Ireland,UK-IE-NL,Core
38556,IE14,"Wicklow, Dan, Mid Lake",53.06933,-6.27918,,Europe,Ireland,UK-IE-NL,Core
38557,IE15,"Clare, Doo, Mid Lake",52.7927699999999,-9.30486999999999,,Europe,Ireland,UK-IE-NL,Core
38558,IE16,"Sligo, Easky, Mid Lake",54.1533599999999,-8.85182,,Europe,Ireland,UK-IE-NL,Core
38559,IE17,"Galway, Fadda, Mid Lake",53.44326,-10.00595,,Europe,Ireland,UK-IE-NL,Core
38560,IE18,"Mayo, Glencullin, Mid Lake",53.66339,-9.78656999999999,,Europe,Ireland,UK-IE-NL,Core
38563,IE21,"Kerry, Upper",51.9808999999999,-9.58815,,Europe,Ireland,UK-IE-NL,Core
23562,IT01,"Piemonte, Lake Paione Inferiore",46.169,8.187667,2002.0,Europe,Italy,Alps,Core
23563,IT02,"Piemonte, Lake di Mergozzo",45.9535,8.457833,194.0,Europe,Italy,Alps,Core
23564,IT03,"Piemonte, Lake Paione Superiore",46.173167,8.187667,2269.0,Europe,Italy,Alps,Core
23565,IT04,"Piemonte, River Cannobino",46.068,8.692667,193.0,Europe,Italy,Alps,Core
23570,LV03,"Liela Jugla, Zaki",56.9715,24.4874,12.0,Europe,Latvia,Baltic,Core
23571,LV04,"Tulija,  Zoseni",57.1362,25.9037,176.0,Europe,Latvia,Baltic,Core
23572,LV05,"Zvirbuli stream, hydrosite",56.912,23.4544,8.0,Europe,Latvia,Baltic,Core
23574,LV07,Amula mouth,57.0139,22.6462,,Europe,Latvia,Baltic,Core
33066,LV08,Tervete,56.478997,23.383998,,Europe,Latvia,Baltic,Core
38545,MD01,Beleu Lake,45.5867,28.1527999999999,,Europe,Moldova,Moldova,Core
38546,MD02,Salcia Mare River,45.8081,28.5375,150.0,Europe,Moldova,Moldova,Core
38605,Tr18_NL_AGE,Achterste Goorven,51.5647,5.2138,14.0,Europe,Netherlands,UK-IE-NL,Trends+Core
38606,Tr18_NL_GER-GEP,Gerritsfles,52.1597999999999,5.81799999999999,40.0,Europe,Netherlands,UK-IE-NL,Trends+Core
38607,Tr18_NL_KLI,Kliplo,52.8344999999999,6.43839999999999,14.0,Europe,Netherlands,UK-IE-NL,Trends+Core
38269,Tr18_NO_1004-13,Store Eitlandsvatn,58.4944456,6.735275994,392.0,Europe,Norway,SoNord,Trends
38310,Tr18_NO_1004-15,Botnevatnet,58.28604769,6.490127658,49.0,Europe,Norway,SoNord,Trends
38306,Tr18_NO_1014-12,Sognevatn,58.31626591,7.675423833,268.0,Europe,Norway,SoNord,Trends
38298,Tr18_NO_1014-25,Drivenesvatn,58.2926082,7.930483223,168.0,Europe,Norway,SoNord,Trends
38292,Tr18_NO_101-605,Holvatn,59.10266518,11.52546236,164.0,Europe,Norway,SoNord,Trends
38285,Tr18_NO_1018-4,Kleivsetvannet,58.11955922,7.664899414,93.0,Europe,Norway,SoNord,Trends
38243,Tr18_NO_1021-14,Homestadvatnet,58.20391668,7.443580121,282.0,Europe,Norway,SoNord,Trends
38265,Tr18_NO_1026-210,Stigebottsvatn,58.75758304,7.314652572,814.0,Europe,Norway,SoNord,Trends
38261,Tr18_NO_1032-14,Troldevatnet,58.22933172,6.992340511,278.0,Europe,Norway,SoNord,Trends
38249,Tr18_NO_1034-19,Indre Espelandsvatnet,58.3053978,7.160169577,391.0,Europe,Norway,SoNord,Trends
38288,Tr18_NO_1034-8,Trollselvatn,58.54860913,7.206117638,617.0,Europe,Norway,SoNord,Trends
38271,Tr18_NO_1037-17,Heievatn,58.63132399,6.969318014,500.0,Europe,Norway,SoNord,Trends
38297,Tr18_NO_105-501,Isebakktjern,59.3436387,10.96962801,60.0,Europe,Norway,SoNord,Trends
38245,Tr18_NO_1101-43,Glypstadvatnet,58.48722272,6.188383588,252.0,Europe,Norway,SoNord,Trends
38275,Tr18_NO_1111-3,Ljosvatnet,58.41941957,6.210911652,150.0,Europe,Norway,SoNord,Trends
38273,Tr18_NO_1119-602,Homsevatn,58.56319599,5.860664424,142.0,Europe,Norway,SoNord,Trends
38290,Tr18_NO_1154-601,Røyravatnet,59.54403693,6.024655227,231.0,Europe,Norway,SoNord,Trends
38299,Tr18_NO_118-502,Breidtjern,59.12299311,11.68399747,190.0,Europe,Norway,SoNord,Trends
38277,Tr18_NO_1211-601,Vaulavatn,59.8261312,6.365323792,879.0,Europe,Norway,SoNord,Trends
38251,Tr18_NO_1222-502,Inste Sørlivatn,59.8720963,5.41981444,262.0,Europe,Norway,SoNord,Trends
38262,Tr18_NO_1228-501,Steinavatn,59.85987744,6.578782875,1047.0,Europe,Norway,SoNord,Trends
38317,Tr18_NO_1251-601,Oddmunddalsvatnet,60.53099003,5.981983631,764.0,Europe,Norway,SoNord,Trends
38268,Tr18_NO_1263-601,Båtevatn,60.72836351,5.511969728,451.0,Europe,Norway,SoNord,Trends
38239,Tr18_NO_137-501,Ravnsjøen,59.40299288,10.99898211,82.0,Europe,Norway,SoNord,Trends
38286,Tr18_NO_1401-501,Langevatn,61.67024995,5.17921279,470.0,Europe,Norway,SoNord,Trends
38267,Tr18_NO_1418-601,Nystølsvatn,61.34251364,6.459470653,715.0,Europe,Norway,SoNord,Trends
38282,Tr18_NO_1443-501,Movatn,61.97845281,6.18333754,422.0,Europe,Norway,SoNord,Trends
38309,Tr18_NO_1502-602,Lunddalsvatnet,62.81907312,7.532253923,254.0,Europe,Norway,SoNord,Trends
38257,Tr18_NO_1511-601,Blæjevatnet,62.05147109,5.784194626,700.0,Europe,Norway,SoNord,Trends
38258,Tr18_NO_1630-603,Skjerivatnet,63.96346534,10.56412585,357.0,Europe,Norway,NoNord,Trends
38404,Tr18_SE_87,Ulvsjön,64.05999346,20.26201796,211.0,Europe,Sweden,NoNord,Trends
38345,Tr18_SE_88,Bysjön,64.23774044,20.43874576,125.0,Europe,Sweden,NoNord,Trends
38248,Tr18_NO_1640-603,Tufsingen,62.61229385,11.87655848,781.0,Europe,Norway,SoNord,Trends
38307,Tr18_NO_1725-3-14,Bjørfarvatnet,64.2778809,10.98676906,263.0,Europe,Norway,NoNord,Trends
38349,Tr18_SE_131,Fagertärn,64.28241084,14.69168726,169.0,Europe,Sweden,NoNord,Trends
38280,Tr18_NO_1742-501,Grytsjøen,64.3907790003687,12.084832532812,372.0,Europe,Norway,NoNord,Trends
38397,Tr18_SE_137,Stor-Tjulträsket,64.59742455,17.60035753,542.0,Europe,Sweden,NoNord,Trends
38230,Tr18_FI_35781,Takkajärvi,64.9526,28.2152,188.0,Europe,Finland,NoNord,Trends
38250,Tr18_NO_1740-602,Storgåsvatnet,65.056,13.172,493.0,Europe,Norway,NoNord,Trends
38398,Tr18_SE_69,Svinarydsjön,65.63575568,17.45065728,28.0,Europe,Sweden,NoNord,Trends
38409,Tr18_SE_75,Älgarydssjön,65.6622497,18.55608001,201.0,Europe,Sweden,NoNord,Trends
36464,SE25,Laxtjärnsbäcken,65.786979,19.091654,,Europe,Sweden,NoNord,Core
38394,Tr18_SE_86,Storasjö,65.96081898,16.0678927,253.0,Europe,Sweden,NoNord,Trends+Core
38373,Tr18_SE_1081,Mossjön,66.28473664,23.18813412,278.0,Europe,Sweden,NoNord,Trends
38289,Tr18_NO_1840-601,Kjemåvatnet,66.75098078,15.41023671,626.0,Europe,Norway,NoNord,Trends
36461,SE22,Muddusälven,66.767146,20.128944,,Europe,Sweden,NoNord,Core
38377,Tr18_SE_78,Rammsjön,66.81457422,16.61849502,160.0,Europe,Sweden,NoNord,Trends
38210,Tr18_FI_37562,Suopalampi,67.0655,26.0946,255.0,Europe,Finland,NoNord,Trends+Core
38211,Tr18_FI_37831,Vasikkajärvi,67.117,26.0844,241.0,Europe,Finland,NoNord,Trends+Core
38244,Tr18_NO_1845-601,Tennvatn,67.59379619,15.48788994,339.0,Europe,Norway,NoNord,Trends
38259,Tr18_NO_1859-601,Storvatn,68.054,13.35,25.0,Europe,Norway,NoNord,Trends
38237,Tr18_NO_221-605,Store Lyseren,59.77566137,11.7731881,229.0,Europe,Norway,SoNord,Trends
38240,Tr18_NO_221-607,Holvatn,59.74282989,11.57645744,214.0,Europe,Norway,SoNord,Trends
38236,Tr18_NO_301-605,Langvann,60.10720232,10.75741508,342.0,Europe,Norway,SoNord,Trends
38305,Tr18_NO_402-604,Storbørja,60.09129171,11.92741667,301.0,Europe,Norway,SoNord,Trends
38284,Tr18_NO_418-603,Skurvsjøen,60.56689988,11.65456601,432.0,Europe,Norway,SoNord,Trends
38304,Tr18_NO_423-601,Meitsjøen,60.38672573,11.81050092,358.0,Europe,Norway,SoNord,Trends
38302,Tr18_NO_429-601,Holmsjøen,61.15139884,11.62362593,559.0,Europe,Norway,SoNord,Trends
38278,Tr18_NO_512-601,Svartdalsvatnet,62.27192663,8.84009413,1018.0,Europe,Norway,SoNord,Trends
38235,Tr18_NO_623-603,Breidlivatnet,59.97766875,10.15203664,632.0,Europe,Norway,SoNord,Trends
38311,Tr18_NO_631-607,Skakktjern,59.89165394,9.307344774,547.0,Europe,Norway,SoNord,Trends
38300,Tr18_NO_713-601,Øyvannet (Store),59.63502669,10.10480643,442.0,Europe,Norway,SoNord,Trends
38241,Tr18_NO_819-501,Nedre Furuvatn,59.27288867,8.842092958,605.0,Europe,Norway,SoNord,Trends
38266,Tr18_NO_827-601,Heddersvatnet,59.83261149,8.735980425,1138.0,Europe,Norway,SoNord,Trends
38247,Tr18_NO_831-501,Brårvatn,59.2949206,7.727117568,902.0,Europe,Norway,SoNord,Trends
38263,Tr18_NO_833-603,Skurevatn,59.58859315,7.553098051,1269.0,Europe,Norway,SoNord,Trends
38270,Tr18_NO_834-614,Stavsvatn,59.63187564,8.113747337,1053.0,Europe,Norway,SoNord,Trends
38238,Tr18_NO_914-501,Sandvatn,58.68506741,8.962033086,150.0,Europe,Norway,SoNord,Trends
38303,Tr18_NO_919-606,Hundevatn,58.59264116,8.54065003,286.0,Europe,Norway,SoNord,Trends
38301,Tr18_NO_935-7,Grunnevatn,58.38993819,7.970301523,250.0,Europe,Norway,SoNord,Trends
38293,Tr18_NO_938-66,Grimsdalsvatn,58.74743615,7.971849903,463.0,Europe,Norway,SoNord,Trends
